rollout,runtime,best_reward,num_states
0,0.2014472484588623,-3.5732502937316895,31
1,0.4149966239929199,-3.5732502937316895,60
2,0.6328291893005371,-3.5732502937316895,89
3,0.8298842906951904,-3.5094370245933533,118
4,1.0326321125030518,-3.5094370245933533,147
5,1.2421042919158936,-3.482942819595337,176
6,1.4529736042022705,-3.482942819595337,205
7,1.6475555896759033,-3.482942819595337,234
8,1.8488178253173828,-3.482942819595337,263
9,2.0450398921966553,-3.482942819595337,292
10,2.252232789993286,-3.482942819595337,321
11,2.454422950744629,-3.482942819595337,350
12,2.6540801525115967,-3.482942819595337,379
13,2.8583195209503174,-3.466945767402649,408
14,3.0572845935821533,-3.466945767402649,437
15,3.2565784454345703,-3.466945767402649,466
16,3.456174373626709,-3.466945767402649,495
17,3.6469509601593018,-3.466945767402649,524
18,3.838063955307007,-3.4249578714370728,553
19,4.037198781967163,-3.4249578714370728,582
20,4.233948469161987,-3.4249578714370728,611
21,4.42684268951416,-3.4249578714370728,640
22,4.6158692836761475,-3.227725625038147,669
23,4.8084399700164795,-3.227725625038147,698
24,4.99984884262085,-3.227725625038147,727
25,5.188968896865845,-3.227725625038147,756
26,5.379173517227173,-3.227725625038147,785
27,5.5692503452301025,-3.227725625038147,814
28,5.769338607788086,-3.227725625038147,843
29,5.973389148712158,-3.227725625038147,872
30,6.134610652923584,-3.227725625038147,872
31,6.33983302116394,-3.227725625038147,899
32,6.546840667724609,-3.227725625038147,926
33,6.745478630065918,-3.227725625038147,953
34,6.949591159820557,-3.227725625038147,980
35,7.154001235961914,-3.227725625038147,1007
36,7.354259967803955,-3.227725625038147,1034
37,7.554681777954102,-3.227725625038147,1061
38,7.753524541854858,-3.227725625038147,1088
39,7.952686548233032,-3.227725625038147,1115
40,8.159845113754272,-3.227725625038147,1142
41,8.356893539428711,-3.227725625038147,1169
42,8.552409410476685,-3.227725625038147,1196
43,8.751059293746948,-3.227725625038147,1223
44,8.953580379486084,-3.227725625038147,1250
45,9.154924392700195,-3.227725625038147,1277
46,9.354103803634644,-3.227725625038147,1304
47,9.560726404190063,-3.227725625038147,1331
48,9.767333030700684,-3.227725625038147,1358
49,9.962510108947754,-3.227725625038147,1385
50,10.152650833129883,-3.227725625038147,1412
51,10.3436279296875,-3.227725625038147,1439
52,10.534049272537231,-3.227725625038147,1466
53,10.726675033569336,-3.227725625038147,1493
54,10.925952672958374,-3.227725625038147,1520
55,11.114919900894165,-3.227725625038147,1547
56,11.301692724227905,-3.227725625038147,1574
57,11.486652135848999,-3.227725625038147,1601
58,11.67493748664856,-3.227725625038147,1628
59,11.865071535110474,-3.227725625038147,1655
60,12.071330070495605,-3.227725625038147,1681
61,12.239456176757812,-3.227725625038147,1681
62,12.443666934967041,-3.227725625038147,1707
63,12.65255618095398,-3.227725625038147,1734
64,12.860590934753418,-3.227725625038147,1761
65,13.062330961227417,-3.227725625038147,1788
66,13.26213002204895,-3.227725625038147,1815
67,13.465031862258911,-3.227725625038147,1842
68,13.667654514312744,-3.227725625038147,1869
69,13.86665678024292,-3.227725625038147,1896
70,14.064154624938965,-3.227725625038147,1923
71,14.26132345199585,-3.227725625038147,1950
72,14.459006071090698,-3.227725625038147,1977
73,14.663830280303955,-3.227725625038147,2004
74,14.861003637313843,-3.227725625038147,2031
75,15.055845022201538,-3.227725625038147,2058
76,15.249996185302734,-3.227725625038147,2085
77,15.441790103912354,-3.227725625038147,2112
78,15.644885063171387,-3.227725625038147,2139
79,15.844563722610474,-3.227725625038147,2166
80,16.03528594970703,-3.227725625038147,2193
81,16.226880073547363,-3.227725625038147,2220
82,16.42110323905945,-3.227725625038147,2247
83,16.615780115127563,-3.227725625038147,2274
84,16.815907955169678,-3.227725625038147,2301
85,17.012344121932983,-3.227725625038147,2328
86,17.206778287887573,-3.227725625038147,2355
87,17.397000789642334,-3.227725625038147,2382
88,17.591910123825073,-3.227725625038147,2409
89,17.78181028366089,-3.227725625038147,2436
90,17.984725952148438,-3.227725625038147,2462
91,18.18983292579651,-3.227725625038147,2487
92,18.395843744277954,-3.227725625038147,2512
93,18.601773500442505,-3.227725625038147,2538
94,18.801112174987793,-3.227725625038147,2565
95,19.00292682647705,-3.227725625038147,2592
96,19.202682733535767,-3.227725625038147,2619
97,19.4026198387146,-3.227725625038147,2646
98,19.605364322662354,-3.227725625038147,2673
99,19.801774740219116,-3.227725625038147,2700
100,20.00024938583374,-3.227725625038147,2727
101,20.195184469223022,-3.227725625038147,2754
102,20.391496181488037,-3.227725625038147,2781
103,20.591187238693237,-3.227725625038147,2808
104,20.788217067718506,-3.227725625038147,2835
105,20.98512315750122,-3.227725625038147,2862
106,21.183828830718994,-3.227725625038147,2889
107,21.38401961326599,-3.227725625038147,2916
108,21.588139533996582,-3.227725625038147,2943
109,21.787033557891846,-3.227725625038147,2970
110,21.979007720947266,-3.227725625038147,2997
111,22.174065589904785,-3.227725625038147,3024
112,22.36094832420349,-3.227725625038147,3051
113,22.553812265396118,-3.227725625038147,3078
114,22.74898409843445,-3.227725625038147,3105
