,Explainer,Selection strategy,fidelity_plus,fidelity_minus,sparsity,sparsity_all,characterization_score
0,CoDy,random,0.965,0.31,0.04225641869651087,0.05623519363885905,0.46925490196078423
1,CoDy,recent,0.975,0.375,0.04102465986394558,0.04992620129192028,0.5416666666666666
2,CoDy,closest,0.965,0.255,0.053140006002400965,0.053561405373552924,0.40340163934426226
3,CoDy,1-best,0.95,0.405,0.043001228269085416,0.05617620129192028,0.5678966789667896
0,Greedy,random,0.985,0.065,0.028846153846153848,0.019502196712018142,0.12195238095238096
1,Greedy,recent,0.98,0.31,0.029485887096774195,0.03479078089569161,0.47100775193798444
2,Greedy,closest,0.985,0.015,0.020833333333333332,0.02573076105442177,0.02955
3,Greedy,1-best,0.985,0.265,0.02034198113207547,0.028330321712018137,0.41764000000000007
0,TGNNExplainer,-,0.72,0.275,0.3248484848484848,0.3466013071895425,0.39798994974874374
