rollout,runtime,best_reward,num_states
0,0.19564390182495117,-1.2224102020263672,31
1,0.38884806632995605,-1.2224102020263672,60
2,0.5815105438232422,-1.2224102020263672,89
3,0.7763385772705078,-1.2224102020263672,118
4,0.9707956314086914,-1.2224102020263672,147
5,1.1657254695892334,-1.2224102020263672,176
6,1.3596153259277344,-1.2224102020263672,205
7,1.5556375980377197,-1.2224102020263672,234
8,1.7487297058105469,-1.2224102020263672,263
9,1.9423651695251465,-1.2224102020263672,292
10,2.1353020668029785,-1.2224102020263672,321
11,2.3285109996795654,-1.2224102020263672,350
12,2.5221283435821533,-1.2224102020263672,379
13,2.7149970531463623,-1.2224102020263672,408
14,2.9079294204711914,-1.2224102020263672,437
15,3.101101875305176,-1.2224102020263672,466
16,3.2934818267822266,-1.2224102020263672,495
17,3.487255334854126,-1.2224102020263672,524
18,3.6801087856292725,-1.2224102020263672,553
19,3.8721466064453125,-1.2224102020263672,582
20,4.065939426422119,-1.2224102020263672,611
21,4.26016640663147,-1.2224102020263672,640
22,4.451606512069702,-1.2224102020263672,669
23,4.645037889480591,-1.2224102020263672,698
24,4.838108777999878,-1.2224102020263672,727
25,5.031067132949829,-1.2224102020263672,756
26,5.222622871398926,-1.2224102020263672,785
27,5.414273738861084,-1.2224102020263672,814
28,5.609545946121216,-1.2224102020263672,843
29,5.801045179367065,-1.2224102020263672,872
30,5.8896708488464355,-1.2224102020263672,872
31,6.077937364578247,-1.2224102020263672,899
32,6.264758825302124,-1.2224102020263672,926
33,6.452905178070068,-1.2224102020263672,953
34,6.64086127281189,-1.2224102020263672,980
35,6.8292248249053955,-1.2224102020263672,1007
36,7.016711235046387,-1.2224102020263672,1034
37,7.205687522888184,-1.2224102020263672,1061
38,7.3928492069244385,-1.2224102020263672,1088
39,7.579062461853027,-1.2224102020263672,1115
40,7.765138149261475,-1.2224102020263672,1142
41,7.950829267501831,-1.2224102020263672,1169
42,8.137953519821167,-1.2224102020263672,1196
43,8.323194742202759,-1.2224102020263672,1223
44,8.509376525878906,-1.2224102020263672,1250
45,8.695418119430542,-1.2224102020263672,1277
46,8.8804612159729,-1.2224102020263672,1304
47,9.067126750946045,-1.2224102020263672,1331
48,9.252561330795288,-1.2224102020263672,1358
49,9.436922550201416,-1.2224102020263672,1385
50,9.622756242752075,-1.2224102020263672,1412
51,9.808980941772461,-1.2224102020263672,1439
52,9.9920814037323,-1.2224102020263672,1466
53,10.17727017402649,-1.2224102020263672,1493
54,10.362060785293579,-1.2224102020263672,1520
55,10.546596050262451,-1.2224102020263672,1547
56,10.729865550994873,-1.2224102020263672,1574
57,10.913101434707642,-1.2224102020263672,1601
58,11.099056482315063,-1.2224102020263672,1628
59,11.282020807266235,-1.2224102020263672,1655
60,11.46668028831482,-1.2224102020263672,1681
61,11.560392379760742,-1.2224102020263672,1681
62,11.747446298599243,-1.2224102020263672,1707
63,11.937204837799072,-1.2224102020263672,1734
64,12.126742601394653,-1.2224102020263672,1761
65,12.314478874206543,-1.2224102020263672,1788
66,12.502060651779175,-1.2224102020263672,1815
67,12.69121527671814,-1.2224102020263672,1842
68,12.877809762954712,-1.2224102020263672,1869
69,13.064180850982666,-1.2224102020263672,1896
70,13.250438690185547,-1.2224102020263672,1923
71,13.43607759475708,-1.2224102020263672,1950
72,13.62315320968628,-1.2224102020263672,1977
73,13.809024095535278,-1.2224102020263672,2004
74,13.99550199508667,-1.2224102020263672,2031
75,14.181657791137695,-1.2224102020263672,2058
76,14.36690878868103,-1.2224102020263672,2085
77,14.553648710250854,-1.2224102020263672,2112
78,14.739516496658325,-1.2224102020263672,2139
79,14.924371242523193,-1.2224102020263672,2166
80,15.110718250274658,-1.2224102020263672,2193
81,15.297392129898071,-1.2224102020263672,2220
82,15.481285095214844,-1.2224102020263672,2247
83,15.66859245300293,-1.2224102020263672,2274
84,15.854247093200684,-1.2224102020263672,2301
85,16.03944420814514,-1.2224102020263672,2328
86,16.223353147506714,-1.2224102020263672,2355
87,16.407127857208252,-1.2224102020263672,2382
88,16.593721628189087,-1.2224102020263672,2409
89,16.77708911895752,-1.2224102020263672,2436
90,16.96392297744751,-1.2224102020263672,2462
91,17.14972949028015,-1.2224102020263672,2487
92,17.33735728263855,-1.2224102020263672,2512
93,17.526561498641968,-1.2224102020263672,2538
94,17.716420650482178,-1.2224102020263672,2565
95,17.906183004379272,-1.2224102020263672,2592
96,18.096283435821533,-1.2224102020263672,2619
97,18.287798643112183,-1.2224102020263672,2646
98,18.476526260375977,-1.2224102020263672,2673
99,18.6655170917511,-1.2224102020263672,2700
100,18.8540096282959,-1.2224102020263672,2727
101,19.042163610458374,-1.2224102020263672,2754
102,19.231489181518555,-1.2224102020263672,2781
103,19.419262409210205,-1.2224102020263672,2808
104,19.607667446136475,-1.2224102020263672,2835
105,19.795822381973267,-1.2224102020263672,2862
106,19.983186721801758,-1.2224102020263672,2889
107,20.171881675720215,-1.2224102020263672,2916
